time_ns,node_id,port_id,q_id,bytes,op
251717,3,0,,,resume
251717,3,0,,,pause
251800,3,0,,,resume
251800,3,0,,,pause
251894,3,0,,,resume
251955,3,0,,,pause
251966,2,0,,,pause
251966,1,0,,,pause
251966,2,0,,,resume
251966,1,0,,,resume
252121,1,0,,,pause
252204,2,0,,,pause
252204,1,0,,,resume
252204,2,0,,,resume
252204,1,0,,,pause
252204,2,0,,,pause
252204,1,0,,,resume
252204,2,0,,,resume
252287,1,0,,,pause
252287,2,0,,,pause
252370,1,0,,,resume
252370,2,0,,,resume
252370,1,0,,,pause
252370,2,0,,,pause
252536,0,0,,,pause
252547,2,0,,,resume
252547,1,0,,,resume
252547,2,0,,,pause
252547,1,0,,,pause
252630,0,0,,,resume
252713,0,0,,,pause
252796,0,0,,,resume
252796,0,0,,,pause
252796,0,0,,,resume
252868,0,0,,,pause
252962,0,0,,,resume
252962,0,0,,,pause
253128,0,0,,,resume
253128,0,0,,,pause
253792,3,0,,,resume
254301,1,0,,,resume
254539,2,0,,,resume
254716,0,0,,,resume
259353,0,0,,,pause
259353,0,0,,,resume
259591,3,0,,,pause
259591,3,0,,,resume
259602,0,0,,,pause
259602,0,0,,,resume
259685,0,0,,,pause
259768,3,0,,,pause
259768,0,0,,,resume
259768,0,0,,,pause
259779,0,0,,,resume
259851,0,0,,,pause
259851,1,0,,,pause
259851,3,0,,,resume
259851,1,0,,,resume
259851,3,0,,,pause
259851,3,0,,,resume
259934,0,0,,,resume
259934,3,0,,,pause
259934,0,0,,,pause
259945,3,0,,,resume
260017,2,0,,,pause
260017,2,0,,,resume
260089,3,0,,,pause
260100,1,0,,,pause
260100,1,0,,,resume
260172,2,0,,,pause
260172,3,0,,,resume
260172,3,0,,,pause
260183,0,0,,,resume
260183,1,0,,,pause
260183,0,0,,,pause
260255,2,0,,,resume
260255,2,0,,,pause
260266,1,0,,,resume
260266,1,0,,,pause
260277,1,0,,,resume
260349,2,0,,,resume
260349,2,0,,,pause
260432,1,0,,,pause
260432,2,0,,,resume
260432,1,0,,,resume
260432,2,0,,,pause
260432,1,0,,,pause
260526,2,0,,,resume
260587,2,0,,,pause
260681,1,0,,,resume
260681,1,0,,,pause
261771,0,0,,,resume
262103,3,0,,,resume
262269,1,0,,,resume
262352,2,0,,,resume
266657,0,0,,,pause
266657,0,0,,,resume
266906,0,0,,,pause
266906,0,0,,,resume
266989,0,0,,,pause
267072,0,0,,,resume
267072,0,0,,,pause
267083,0,0,,,resume
267155,1,0,,,pause
267155,1,0,,,resume
267238,0,0,,,pause
267238,0,0,,,resume
267238,0,0,,,pause
267321,3,0,,,pause
267321,3,0,,,resume
267404,1,0,,,pause
267404,1,0,,,resume
267487,0,0,,,resume
267487,3,0,,,pause
267487,1,0,,,pause
267487,0,0,,,pause
267570,3,0,,,resume
267570,1,0,,,resume
267570,3,0,,,pause
267570,1,0,,,pause
267570,3,0,,,resume
267581,1,0,,,resume
267653,1,0,,,pause
267653,1,0,,,resume
267736,3,0,,,pause
267736,1,0,,,pause
